NodeID;Estimate Node As Orphaned;Reverse Related Objects;Reverse Linked Object Count;Reverse Embedded Object Count;Linked Content Object Count;Url in content;Related Object Count;Embedded Content Object Count;Url;Name;Image;Image Caption;Text Line One;Text Line Two
4869;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/rsvp-masthead;RSVP Masthead;rsvp-masthead.png;;;
4870;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/rsvp-content-header2;RSVP Content Header;rsvp-content-header.png;RSVP to this Exclusive CoolSculpting Event;;
4871;0;1;0;1;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/rsvp-content-header3;RSVP Content Header;rsvp-content-header.png;RSVP to this Exclusive CoolSculpting Event;;
5015;0;1;0;1;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/rsvp_page_banner;RSVP_Page_Banner;rsvp_page_banner.png;;;
5142;0;1;0;1;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/b-a-photo-grid;B&A Photo Grid;b-a-photo-grid.jpg;photo grid of before and after photos;;
5143;0;1;0;2;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/coolfit-applicator-region;CoolFit Applicator Region;coolfit-applicator-region.jpg;;;
5146;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/dummy-image2;Dummy Image;dummy-image.jpg;Before and After Photos;;
583;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/uk-tech;UK Tech;uk-tech.jpg;;;
586;0;1;0;3;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/cool-technology-us;Cool Technology US;cool-technology-us.jpg;Coolsculpting Technology;;
587;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/misc-images/coolsculpting-technology-uk;Coolsculpting Technology UK;coolsculpting-technology-uk.jpg;Coolsculpting Technology;;
5007;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/bowesba_rsvppage;BowesBA_RSVPpage;bowesba_rsvppage.jpg;Before and After Photo;;
5008;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/bruceba_rsvp;BruceBA_RSVP;bruceba_rsvp.jpg;Before and After Photo;;
5009;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/dibernardoba_rsvp;DiBernardoBA_RSVP;dibernardoba_rsvp.jpg;Before and After Photo;;
5010;1;0;0;0;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/grantba_rsvp;GrantBA_RSVP;grantba_rsvp.jpg;Before and After Photo;;
5088;0;1;0;2;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/mountford-female-white-front;Mountford-Female(white)-FRONT;mountford-female-white-front.jpg;;;
5089;0;1;0;2;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/mountford-female-blue-back;Mountford-Female(Blue)-BACK;mountford-female-blue-back.jpg;;;
5090;0;1;0;2;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/mountford-female-blue-front;Mountford-Female(blue)-FRONT;mountford-female-blue-front.jpg;;;
5091;0;1;0;2;0;0;0;0;http://tc/media/coolsculpting-website/images/before-after-photos/b-a-sidebar-unit-images/mountford-female-white-back;Mountford-Female(white)-BACK;mountford-female-white-back.jpg;;;
